circuit;area;power;timing;ssim;compression
copyA_6_DRUM_8;120283.300;4677.520;41204.695;0.986511;0.507
copyA_6_DRUM_7;117069.447;4513.460;42470.680;0.982752;0.509
copyA_6_DRUM_6;114374.689;4382.300;42287.480;0.980647;0.511
copyA_6_DRUM_5;110286.422;4190.770;42557.488;0.953241;0.520
copyA_6_DRUM_4;0.0000;0.0000;0.0000;0.928647;0.535
copyA_7_DRUM_8;119044.325;4633.360;42668.047;0.986519;0.507
copyA_7_DRUM_7;115816.858;4464.240;43946.246;0.982755;0.509
copyA_7_DRUM_6;113157.734;4329.050;43321.445;0.981076;0.511
copyA_7_DRUM_5;109042.680;4145.400;45087.289;0.953240;0.521
copyA_7_DRUM_4;0.0000;0.0000;0.0000;0.928647;0.535
copyA_8_DRUM_8;117811.446;4587.820;41781.754;0.986558;0.507
copyA_8_DRUM_7;114716.590;4419.640;44072.121;0.982798;0.509
copyA_8_DRUM_6;111984.034;4286.760;43290.172;0.981046;0.512
copyA_8_DRUM_5;107793.531;4097.070;43772.551;0.953255;0.521
copyA_8_DRUM_4;0.0000;0.0000;0.0000;0.928682;0.535
copyA_9_DRUM_8;116503.953;4536.510;42636.691;0.986588;0.507
copyA_9_DRUM_7;113271.374;4363.950;43042.770;0.982974;0.509
copyA_9_DRUM_6;110666.957;4233.850;42925.219;0.981070;0.511
copyA_9_DRUM_5;106436.493;4046.690;43655.336;0.952678;0.520
copyA_9_DRUM_4;0.0000;0.0000;0.0000;0.928744;0.535
copyA_10_DRUM_8;115250.528;4483.140;42277.176;0.986565;0.506
copyA_10_DRUM_7;112028.516;4316.340;44204.891;0.983100;0.507
copyA_10_DRUM_6;109457.326;4176.120;43608.305;0.981096;0.511
copyA_10_DRUM_5;104940.356;3986.710;44061.133;0.952574;0.520
copyA_10_DRUM_4;0.0000;0.0000;0.0000;0.928798;0.535
copyA_11_DRUM_8;113499.636;4419.770;42425.227;0.986497;0.505
copyA_11_DRUM_7;110413.332;4254.290;44190.641;0.982775;0.507
copyA_11_DRUM_6;107843.125;4116.510;44141.539;0.981028;0.510
copyA_11_DRUM_5;103409.418;3926.810;44540.773;0.952127;0.518
copyA_11_DRUM_4;0.0000;0.0000;0.0000;0.928497;0.533
copyA_12_DRUM_8;112228.221;4366.770;42755.590;0.986042;0.508
copyA_12_DRUM_7;109074.235;4197.250;44562.945;0.982251;0.509
copyA_12_DRUM_6;106211.672;4057.300;43612.695;0.980110;0.512
copyA_12_DRUM_5;101799.838;3865.100;44415.566;0.950947;0.519
copyA_12_DRUM_4;0.0000;0.0000;0.0000;0.928245;0.534
copyA_13_DRUM_8;110615.593;4304.990;41362.383;0.979950;0.541
copyA_13_DRUM_7;107285.398;4128.650;42331.680;0.976409;0.543
copyA_13_DRUM_6;105047.065;4009.790;43286.082;0.973173;0.544
copyA_13_DRUM_5;0.0000;0.0000;0.0000;0.945842;0.553
copyA_13_DRUM_4;0.0000;0.0000;0.0000;0.926153;0.572
copyA_14_DRUM_8;108913.656;4233.570;41452.746;0.964569;0.630
copyA_14_DRUM_7;105494.741;4058.780;43030.562;0.961487;0.637
copyA_14_DRUM_6;103067.959;3941.070;44772.664;0.958730;0.638
copyA_14_DRUM_5;0.0000;0.0000;0.0000;0.933242;0.647
copyA_14_DRUM_4;0.0000;0.0000;0.0000;0.912703;0.655
copyA_15_DRUM_8;0.0000;0.0000;0.0000;0.936957;0.693
copyA_15_DRUM_7;0.0000;0.0000;0.0000;0.933447;0.694
copyA_15_DRUM_6;0.0000;0.0000;0.0000;0.932392;0.695
copyA_15_DRUM_5;0.0000;0.0000;0.0000;0.869870;0.704
copyA_15_DRUM_4;0.0000;0.0000;0.0000;0.859818;0.718
copyB_6_DRUM_8;119340.122;4642.830;31622.619;0.986511;0.507
copyB_6_DRUM_7;116062.224;4476.080;32063.266;0.982752;0.509
copyB_6_DRUM_6;113315.168;4342.770;32376.104;0.980647;0.511
copyB_6_DRUM_5;109188.317;4152.370;32395.082;0.953241;0.520
copyB_6_DRUM_4;0.0000;0.0000;0.0000;0.928647;0.535
copyB_7_DRUM_8;117964.014;4598.350;31014.941;0.986519;0.507
copyB_7_DRUM_7;114544.361;4421.220;32270.166;0.982755;0.509
copyB_7_DRUM_6;112002.613;4285.590;32102.879;0.981076;0.511
copyB_7_DRUM_5;107771.412;4098.750;32714.734;0.953240;0.521
copyB_7_DRUM_4;0.0000;0.0000;0.0000;0.928647;0.535
copyB_8_DRUM_8;116569.719;4545.050;29867.078;0.986557;0.507
copyB_8_DRUM_7;113211.458;4368.650;30900.281;0.982801;0.509
copyB_8_DRUM_6;110645.576;4232.990;30830.172;0.981052;0.511
copyB_8_DRUM_5;106327.917;4047.800;30849.596;0.953243;0.521
copyB_8_DRUM_4;0.0000;0.0000;0.0000;0.928667;0.535
copyB_9_DRUM_8;115061.441;4484.160;28333.600;0.986597;0.508
copyB_9_DRUM_7;111991.800;4312.550;29220.607;0.982992;0.509
copyB_9_DRUM_6;109000.753;4177.300;28884.568;0.981049;0.512
copyB_9_DRUM_5;104826.126;3990.300;29297.525;0.952677;0.521
copyB_9_DRUM_4;0.0000;0.0000;0.0000;0.928759;0.535
